Date,Twitter_ID,User_Name,Followers,Tweet,Link,Favourites,Retweets
2019-08-16 11:25:30,archierjames,Archie James,2528,Let @kori_losack put you in one of these #Hotjobs @CorusStaffing a @ConvergeTSC #Tableau #Developer #Testing…, https://t.co/BCz7n47duA,0,1
2019-08-16 11:16:34,Itelligence12,etlhive,326,"Attend free demo session of Tableau at ETLHIVE, Kharadi branch on 17th Aug 2019 11.00 AM
Visit -…", https://t.co/b3kSDMBjle,0,1
2019-08-16 10:50:13,Joshua11211996,KingJLO,276,CONGRATULATIONS my 12 Tenacityyyy ayeeee 😍 #1stplacer #Tableau #proudFilipinoTeacherhereee 💕❤️, https://t.co/nVHQNN7BZm,44,15
2019-08-16 10:36:16,Data_Cubed_Ltd,Data Cubed Ltd,62,"In our recent blog post, we discuss the steps to great data visualisations. Not sure which data viz software to use…", https://t.co/hkexn4JK0f,2,1
2019-08-16 10:03:59,KubicleTraining,Kubicle,317,Why should you use #Tableau? Find out how it can change your business. #data, https://t.co/SzaTMGLR1y,1,1
2019-08-16 10:02:50,atheonanalytics,Atheon Analytics,451,"What exactly does ""humanising your Flow-of-Goods data"" mean? Let our Product Manager, Ed Crawford explain all.…", https://t.co/qMnBO8T3bu,1,1
2019-08-16 09:29:03,BerlinTug,Berlin Tableau User Group,63,"Save the date. August BTUG Meetup
When: Aug 22, 2019 @ 7pm
What:
1) Flaconi's journey from #PowerBI to #Tableau by…", https://t.co/PIg83qoC0O,1,2
2019-08-16 09:26:23,DD_NaNa_,nana🦄,26074,Visual Data Storytelling with Tableau (Addison-Wesley Data &amp; Analytics Series), https://t.co/pUE40MQ3Ja #Tableau,2,1
2019-08-16 09:15:46,freecoupondisco,Free Coupon Discount,63,"Free Coupons Discount - Learn Responsive Web Development from Scratch Courses -&gt; https://t.co/iU8K1wThuT

#udemy…", https://t.co/6svFweWsFV,3,0
2019-08-16 09:09:05,DjHolderness,DJHolderness,19,"#Tableau Friends, got a question. I saw a dashboard this week where you could press a play button, and it increment…", https://t.co/SjMZpCqKOT,1,1
2019-08-16 08:11:36,couponfree01,Coupon Free,1914,Udemy Free Discount - The Ultimate Data Science &amp; Machine Learning Python in 2019 #udemycoupon -&gt;…, https://t.co/QCTEQFsi2k,8,9
2019-08-16 07:46:39,InterWorksEU,InterWorks Europe,527,"@talva_cz  shares what you need to know, plus some bonus insight from her firsthand experience, to become a…", https://t.co/paIP3FO2IK,2,1
2019-08-16 06:15:40,Mindmajix,Mindmajix,508,"In this free #Tableau video, we are going to learn how to use #TabCMD &amp; integrate it with a batch file for periodic…", https://t.co/DXBciWGCQv,3,3
2019-08-16 06:14:10,4junctions,4junctions,94,"#Tableau #Online &amp; Offline #Training
Attend #Free #Demo 
Call : 9704868185", https://t.co/PXzRPGEK5E,0,1
2019-08-16 06:00:45,DatalabsAgency,Datalabs Agency,675,Here are some hierarchy #RULES in #dataviz. Does your design make the cut? https://t.co/oD90qRyvyL by…, https://t.co/CFOZ7T0dOd,1,1
2019-08-16 03:25:13,CharlieDumbb,𝙈 👩🏻‍💻,21,I've just started @kirill_eremenko's Data Science A-Z course to prepare for my data mining course in fall. It's so…, https://t.co/0tIKsBV8vl,3,1
2019-08-16 02:37:35,vizsmart,Amy Wu,218,I had a great time at the #Tableau diversity talk in Austin—thanks for the invite! Also got swag. 🎁😃, https://t.co/lslNEGYkoZ,2,1
2019-08-16 01:23:35,phxtug,Phoenix TUG,658,#phxtug heats up August in style. How Organizations Thrive with Data and Analytics #businesstransformation…, https://t.co/Ytet6yHCGc,7,4
2019-08-15 23:19:29,hyounpark,Hyoun Park (박현경) in the Bay Area 🏳️‍🌈,12350,Inside our Slack Channel: A Conversation on #Salesforce acquiring #Tableau via @amalgaminsights, https://t.co/D4DFZtAqDt #bi #crm #heroku,1,1
2019-08-15 22:59:34,ATLTUG,Atlanta Tableau User Group,117,BIG thanks to @MoxieUSA for hosting #ATUG today and wonderful presentation from Sr. Analyst @matthewpimenta! Check…, https://t.co/zCfcwApUwN,5,1
2019-08-15 22:32:07,ATLTUG,Atlanta Tableau User Group,117,Thank you @eablaze! Awesome job at today's #ATUG mtg. Fascinating to see how #Tableau can work with voice data to p…, https://t.co/FPy8l9QPzz,9,1
2019-08-15 21:59:05,shortenl,Louise Shorten,1100,This looks like a great event! #tableau, https://t.co/dURBKYceoV,3,1
2019-08-15 21:15:02,interworks,InterWorks,6345,"Eugenia shares what you need to know, plus some bonus insight from her firsthand experience, to become a #Tableau D…", https://t.co/e8C2jvfcCG,1,1
2019-08-15 20:31:38,JakeVanHecke,jvh,260,"I made a quick lil radial chart of the running total of our @riverwest24 lap times. #Tableau

https://t.co/4jhtGc7LMa",,0,1
2019-08-15 20:19:15,frances_okolo,Frances Okolo,17,"I have to say #Tableau 10 Business Intelligence Cookbook Paperback by Donabel Santos is a really good book

https://t.co/WroohYJLrd",,0,1
2019-08-15 19:38:59,KubicleTraining,Kubicle,317,Improve your team's insights and decision-making skills with #OnlineLearning in #Tableau. Sign up for a free 14 day…, https://t.co/cXvR5nURPH,1,1
2019-08-15 19:14:16,RocksetCloud,Rockset,464,"[Blog] Using DynamoDB streams to build live business dashboards 

1. DynamoDB Streams + Lambda + Kinesis Firehose +…", https://t.co/q6KL23mjkP,6,3
2019-08-15 19:10:34,KPIPartners,KPI Partners,2728,KPI delivered five #KPICloudAnalytics modules using a blended onsite and offshore team consisting of business exper…, https://t.co/tgdefETPUh,0,1
2019-08-15 18:15:02,interworks,InterWorks,6345,Matthew demonstrates how to make filtering work for you in this post on Portals for #Tableau. He walks through seve…, https://t.co/6mFe2lCC28,1,1
2019-08-15 17:50:15,couponfree01,Coupon Free,1914,Udemy Free Discount - Data Science Career Guide - Interview Preparation #udemycoupon -&gt; https://t.co/eXJavb0CmD…, https://t.co/7r8YYZ0eRR,3,2
2019-08-15 17:50:01,VoiceBase,VoiceBase,4006,"#Atlanta #Tableau users, hope to see you at today's #TUG event! Our very own Emily Nave joins Matt Pimenta from…", https://t.co/hgqC2t5lCE,3,1
2019-08-15 16:30:21,CorusStaffing,Corus360 Talent Solutions,328,"UPDATE - New #roles available! 

If you or someone in your network needs more information, please contact Kori Losa…", https://t.co/EwyUejSGLR,2,1
2019-08-15 16:06:36,freecoupondisco,Free Coupon Discount,63,"Free Coupons Discount - The Gatsby Masterclass Courses -&gt; https://t.co/QmfFoPPWc4

#udemy #webdevelopment #React…", https://t.co/IZtCvhQTfu,5,6
2019-08-15 15:43:17,DecisionViz,Lee Feinberg,784,Data + Beer.  Apparently it's more than my friends who know how much I love this combo🤯@BeerAdvocate @tableau…, https://t.co/JUkbAm06ZA,4,1
2019-08-15 15:37:30,couponfree01,Coupon Free,1914,Udemy Free Discount - Interactive Python Dashboards with Plotly and Dash #udemycoupon -&gt; (https://t.co/4rNQvHICKL…, https://t.co/PKgZP2oJK7,4,1
2019-08-15 15:33:49,frances_okolo,Frances Okolo,17,"My First Word Cloud.
#Tableau #VizOfTheDay", https://t.co/MarvGFXoJQ,0,1
2019-08-15 15:30:21,StatsN3rdGirl,Michelle 🤓📈📉📊,187,How many columns are too many in a table? 100? 1000? 😂🤐🤷🏻‍♀️🤦🏻‍♀️💀 #Database #Analytics #DataScience #SQL #Tableau #Alteryx #ETL #ELT,,2,1
2019-08-15 15:30:07,interworks,InterWorks,6345,"When it comes to tackling date calculations in #Tableau, this blog is a lifesaver. Find Robert's downloadable templ…", https://t.co/tHs79kvbjH,0,1
2019-08-15 14:50:05,infolabUK,The Information Lab,7529,"@joseva451 this time shows us how to create points 📍 and lines ✏️ in #Tableau: https://t.co/mxUo3XtG49

#TableauTip…", https://t.co/5MXRs0EjzA,0,1
2019-08-15 14:15:53,neurogrok,Marie Mooney,70,"@michaelbloem @bigdataignite Love python too, but #R Caret package is my jam. Also a fan of R integration into…", https://t.co/0iLAw7qUDg,0,1
2019-08-15 14:05:05,infolabUK,The Information Lab,7529,"#TableauTip 💡
In this blog, you can learn how to get people to remember your #DataViz : https://t.co/4fCBsASCpj…", https://t.co/TE3KBrDojh,5,3
2019-08-15 14:02:01,AdwordsMastery,GoogleAdwordsMastery,16087,"This Has Been An Active Summer For #Technology Giants Acquiring Data Analytics Startups. In June, =Google purchased…", https://t.co/d3Qu3t0Zsg,2,1
2019-08-15 13:44:17,greaterthanxbar,Amanda Darcangelo,16,"Another @tableaupublic dashboard this time featuring my fav podcast, @ATWWDpodcast ! @xtineschiefer , @TheEmSchulz…", https://t.co/3hErF6xBfq,1,0
2019-08-15 13:43:23,mrhoffman,mrhoffman,425,Getting started #AI #ML  @Comcast #Cx @ibm #watson #cognitivescience #h2o.ai #tableau #cxc…, https://t.co/DcdbsLBis8,0,1
2019-08-15 13:39:25,mapsnstats,Adrian Lee,250,Not too often I'm let down by #Tableau but its inability to read csv data from a url is a real shame. Web data conn…, https://t.co/E1NV2pG3iT,1,1
2019-08-15 13:21:39,kallen_turner,Turner Kallen,50,"Headed to the #DallasWorldTour! See y'all there 🤠 can't wait to see @bradfordburns give his keynote presentation ""A…", https://t.co/5U3kTIuyXP,11,1
2019-08-15 12:34:07,theinfolabie,Information Lab Irl,857,"How do I Filter Dimensions in Tableau Software (Part 4 - Wildcard Tab)?

Grab a coffee, take three minutes and find…", https://t.co/gWvWeh8LGI,7,3
2019-08-15 12:13:02,Dustiboy21,Dustin Cabral,503,#ChartChamp 2019 is officially open! Join us Sept 19 @harpoonbrewery in Boston! Sign up here to compete or watch (…, https://t.co/XH4mVqyExs,1,1
2019-08-15 11:30:11,infocaptor,InfoCaptor,13297,"#Qlikview #Tableau alternative with packaged #datawarehouse 
Beautiful #visualization
Super affordable #analytics…", https://t.co/4lNGylq7hS,0,1
2019-08-15 10:33:34,data_hungry,Natasha K,1040,Highly recommend to register for the upcoming #Tableau webinar with @echenty on country music evolution. Her analys…, https://t.co/n27uBVPD9V,4,1
2019-08-15 09:55:59,We_Visualize,WeViz,73,"Memories from our last meetup at @kudihq, who's excited for the next?

https://t.co/ZRfUc2oTf5 
#DataAnalytics…", https://t.co/EQk9xofkv5,7,8
2019-08-15 09:08:41,M2dot,M2.,173,We are already looking forward to exciting discussions at the @tableau User Group on 19 August in Zurich! 😉😁…, https://t.co/8UgiS24qnG,2,1
2019-08-15 04:25:11,prlisborg,Paul R. Lisborg,143,We've reached capacity for our Atlanta #Tableau User Group meeting tomorrow at Moxie. Make sure to arrive early...…, https://t.co/jUUpFmgJTs,5,1
2019-08-15 04:15:10,JadolfoHC,𝐀𝐝𝐨𝐥𝐟𝐨 𝐇𝐞𝐫𝐧𝐚𝐧𝐝𝐞𝐳,532,"Hey #tableau #datafam! I have an issue that I don't know how to solve. I have 2 filters, 1 with cat and the other w…", https://t.co/nwue3EJjen,0,1
2019-08-15 03:14:21,freecoupondisco,Free Coupon Discount,63,"Free Coupons Discount - Getting Started with React Courses -&gt; https://t.co/0calfqsRhS

#udemy #webdevelopment…", https://t.co/ugVgOruFbH,3,5
2019-08-15 02:38:39,michaelangeles,michaelangeles,832,"In Cold Blood, BostonTUG, #WickedVizzah, Olivia, ’72 Telecaster Deluxe, DataNOTDoctrine. Don't miss this incredible…", https://t.co/NoaBUSlxYw,24,4
2019-08-15 02:29:25,couponfree01,Coupon Free,1914,"Udemy Free Discount - Math for Machine Learning #udemycoupon -&gt; https://t.co/SleaDjdNVT

#DataScience…", https://t.co/D897jwD0JU,5,7
2019-08-15 02:16:32,saqibali_ca,Saqib Ali,42,@pluralsight is hiring Analytics System Engineers with #Alteryx and #Tableau experience:, https://t.co/ya4zkwWEPx,0,0
2019-08-14 23:31:55,FisherKarey,Karey Fisher,82,Teaching is a work of heart @NurseryRoad #Tableau #FocusFive #MagnetSchoolsofAmerica @swheeler_le #PrideIn5, https://t.co/yLDGmG7Qh5,4,3
2019-08-14 23:06:53,TheBakster72,Jim Bak,85,Two of my favorite things cars and data  #data #tableau #formula1 #connectedcars, https://t.co/IaT06YlTxr,1,1
2019-08-14 22:50:01,Cardanski0,Carter McHasTakes,152,"I'll keep adding to the list of metrics. Please let me know if there's one you really want to see. 

Sometime soon…", https://t.co/paPtDXkg6C,2,1
